name,sex,noc,games,year,city,sport,event,medal,times
Rohullah Nikpai,M,AFG,2008 Summer,2008,Beijing,Taekwondo,Taekwondo Men's Flyweight,Bronze,12
Rohullah Nikpai,M,AFG,2012 Summer,2012,London,Taekwondo,Taekwondo Men's Featherweight,Bronze,13
Jan D. Boersma,M,AHO,1988 Summer,1988,Seoul,Sailing,Sailing Mixed Windsurfer,Silver,8
Mustapha Moussa,M,ALG,1984 Summer,1984,Los Angeles,Boxing,Boxing Men's Light-Heavyweight,Bronze,5
Mohamed Zaoui,M,ALG,1984 Summer,1984,Los Angeles,Boxing,Boxing Men's Middleweight,Bronze,5
Hassiba Boulmerka,F,ALG,1992 Summer,1992,Barcelona,Athletics,"Athletics Women's 1,500 metres",Gold,7
Hocine Soltani,M,ALG,1992 Summer,1992,Barcelona,Boxing,Boxing Men's Featherweight,Bronze,7
Noureddine Morceli,M,ALG,1996 Summer,1996,Atlanta,Athletics,"Athletics Men's 1,500 metres",Gold,8
Hocine Soltani,M,ALG,1996 Summer,1996,Atlanta,Boxing,Boxing Men's Lightweight,Gold,8
Mohamed Bahari,M,ALG,1996 Summer,1996,Atlanta,Boxing,Boxing Men's Middleweight,Bronze,8
Nouria Mrah-Benida,F,ALG,2000 Summer,2000,Sydney,Athletics,"Athletics Women's 1,500 metres",Gold,9
Ali Sadi-Sief,M,ALG,2000 Summer,2000,Sydney,Athletics,"Athletics Men's 5,000 metres",Silver,9
Assa Djabir Sad-Guerni,M,ALG,2000 Summer,2000,Sydney,Athletics,Athletics Men's 800 metres,Bronze,9
Abderrahmane Hammad Zaheer,M,ALG,2000 Summer,2000,Sydney,Athletics,Athletics Men's High Jump,Bronze,9
Mohamed Allalou,M,ALG,2000 Summer,2000,Sydney,Boxing,Boxing Men's Light-Welterweight,Bronze,9
Amar Benikhlef,M,ALG,2008 Summer,2008,Beijing,Judo,Judo Men's Middleweight,Silver,11
Soraya Haddad,F,ALG,2008 Summer,2008,Beijing,Judo,Judo Women's Half-Lightweight,Bronze,11
Taoufik Makhloufi,M,ALG,2012 Summer,2012,London,Athletics,"Athletics Men's 1,500 metres",Gold,12
Taoufik Makhloufi,M,ALG,2016 Summer,2016,Rio de Janeiro,Athletics,"Athletics Men's 1,500 metres",Silver,13
Taoufik Makhloufi,M,ALG,2016 Summer,2016,Rio de Janeiro,Athletics,Athletics Men's 800 metres,Silver,13
John Thomas Barnett,M,ANZ,1908 Summer,1908,London,Rugby,Rugby Men's Rugby,Gold,1
"Reginald Leslie ""Snowy"" Baker",M,ANZ,1908 Summer,1908,London,Boxing,Boxing Men's Middleweight,Silver,1
"Francis Joseph Edmund ""Frank"" De Beaurepaire",M,ANZ,1908 Summer,1908,London,Swimming,Swimming Men's 400 metres Freestyle,Silver,1
"Henry Edward ""Harry"" Kerr",M,ANZ,1908 Summer,1908,London,Athletics,"Athletics Men's 3,500 metres Walk",Bronze,1
"Francis Joseph Edmund ""Frank"" De Beaurepaire",M,ANZ,1908 Summer,1908,London,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,1
"Leslie ""Les"" Boardman",M,ANZ,1912 Summer,1912,Stockholm,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,2
"Sarah Frances ""Fanny"" Durack (-Gately)",F,ANZ,1912 Summer,1912,Stockholm,Swimming,Swimming Women's 100 metres Freestyle,Gold,2
Cecil Patrick Healy,M,ANZ,1912 Summer,1912,Stockholm,Swimming,Swimming Men's 100 metres Freestyle,Silver,2
"Wilhelmina ""Mina"" Wylie",F,ANZ,1912 Summer,1912,Stockholm,Swimming,Swimming Women's 100 metres Freestyle,Silver,2
Harold Hampton Hardwick,M,ANZ,1912 Summer,1912,Stockholm,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,2
Harold Hampton Hardwick,M,ANZ,1912 Summer,1912,Stockholm,Swimming,Swimming Men's 400 metres Freestyle,Bronze,2
"Anthony Frederick ""Tony"" Wilding",M,ANZ,1912 Summer,1912,Stockholm,Tennis,"Tennis Men's Singles, Covered Courts",Bronze,2
Arturo Juan Kenny y Gahan,M,ARG,1924 Summer,1924,Paris,Polo,Polo Men's Polo,Gold,4
Luis ngel Brunetto,M,ARG,1924 Summer,1924,Paris,Athletics,Athletics Men's Triple Jump,Silver,4
Alfredo Copello,M,ARG,1924 Summer,1924,Paris,Boxing,Boxing Men's Lightweight,Silver,4
Hctor Eugene Mndez,M,ARG,1924 Summer,1924,Paris,Boxing,Boxing Men's Welterweight,Silver,4
Pedro Vicente Ernesto Quartucci,M,ARG,1924 Summer,1924,Paris,Boxing,Boxing Men's Featherweight,Bronze,4
Alfredo Jose Antonio Eugenio Porzio,M,ARG,1924 Summer,1924,Paris,Boxing,Boxing Men's Heavyweight,Bronze,4
Arturo J. Rodrguez Jurado,M,ARG,1928 Summer,1928,Amsterdam,Boxing,Boxing Men's Heavyweight,Gold,5
"ngel Pedro Victorio ""Vctor"" Avendao",M,ARG,1928 Summer,1928,Amsterdam,Boxing,Boxing Men's Light-Heavyweight,Gold,5
Victoriano Alberto Zorrilla,M,ARG,1928 Summer,1928,Amsterdam,Swimming,Swimming Men's 400 metres Freestyle,Gold,5
Vctor Peralta,M,ARG,1928 Summer,1928,Amsterdam,Boxing,Boxing Men's Featherweight,Silver,5
Ral Athos Landini Zanicheli,M,ARG,1928 Summer,1928,Amsterdam,Boxing,Boxing Men's Welterweight,Silver,5
Ludovico Bidoglio,M,ARG,1928 Summer,1928,Amsterdam,Football,Football Men's Football,Silver,5
Ral Anganuzzi,M,ARG,1928 Summer,1928,Amsterdam,Fencing,"Fencing Men's Foil, Team",Bronze,5
Juan Carlos Zabala Boyer,M,ARG,1932 Summer,1932,Los Angeles,Athletics,Athletics Men's Marathon,Gold,6
Carmelo Ambrosio Robledo,M,ARG,1932 Summer,1932,Los Angeles,Boxing,Boxing Men's Featherweight,Gold,6
Santiago Alberto Lovell Birnes,M,ARG,1932 Summer,1932,Los Angeles,Boxing,Boxing Men's Heavyweight,Gold,6
Amado Azar,M,ARG,1932 Summer,1932,Los Angeles,Boxing,Boxing Men's Middleweight,Silver,6
Oscar Casanovas,M,ARG,1936 Summer,1936,Berlin,Boxing,Boxing Men's Featherweight,Gold,7
Manuel ngel Andrada,M,ARG,1936 Summer,1936,Berlin,Polo,Polo Men's Polo,Gold,7
Guillermo Jos Lovell Birnes,M,ARG,1936 Summer,1936,Berlin,Boxing,Boxing Men's Heavyweight,Silver,7
Jeannette Morven Campbell (-Peper),F,ARG,1936 Summer,1936,Berlin,Swimming,Swimming Women's 100 metres Freestyle,Silver,7
Francisco Resiglione,M,ARG,1936 Summer,1936,Berlin,Boxing,Boxing Men's Light-Heavyweight,Bronze,7
Ral Vicente Villarreal,M,ARG,1936 Summer,1936,Berlin,Boxing,Boxing Men's Middleweight,Bronze,7
Julio Pedro Curatella,M,ARG,1936 Summer,1936,Berlin,Rowing,Rowing Men's Coxless Pairs,Bronze,7
Delfo Cabrera Gmez,M,ARG,1948 Summer,1948,London,Athletics,Athletics Men's Marathon,Gold,8
Pascual Nicols Prez Alonso,M,ARG,1948 Summer,1948,London,Boxing,Boxing Men's Flyweight,Gold,8
Argentino Rafael Iglesias,M,ARG,1948 Summer,1948,London,Boxing,Boxing Men's Heavyweight,Gold,8
Noem Simonetto de Portela,F,ARG,1948 Summer,1948,London,Athletics,Athletics Women's Long Jump,Silver,8
Emilio Carlos Homps Mulet,M,ARG,1948 Summer,1948,London,Sailing,Sailing Mixed 6 metres,Silver,8
Carlos Enrique Daz Senz Valiente Bachman,M,ARG,1948 Summer,1948,London,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver,8
Gualberto Mauro Ca Montaa,M,ARG,1948 Summer,1948,London,Boxing,Boxing Men's Light-Heavyweight,Bronze,8
Tranquilo Capozzo Zironda,M,ARG,1952 Summer,1952,Helsinki,Rowing,Rowing Men's Double Sculls,Gold,9
Reinaldo Berto Gorno,M,ARG,1952 Summer,1952,Helsinki,Athletics,Athletics Men's Marathon,Silver,9
Antonio Pacenza,M,ARG,1952 Summer,1952,Helsinki,Boxing,Boxing Men's Light-Heavyweight,Silver,9
Eladio Oscar Herrera,M,ARG,1952 Summer,1952,Helsinki,Boxing,Boxing Men's Light-Middleweight,Bronze,9
Humberto Selvetti,M,ARG,1952 Summer,1952,Helsinki,Weightlifting,Weightlifting Men's Heavyweight,Bronze,9
Humberto Selvetti,M,ARG,1956 Summer,1956,Melbourne,Weightlifting,Weightlifting Men's Heavyweight,Silver,10
Vctor Zalazar,M,ARG,1956 Summer,1956,Melbourne,Boxing,Boxing Men's Middleweight,Bronze,10
Hctor O. Calegaris,M,ARG,1960 Summer,1960,Roma,Sailing,Sailing Mixed Three Person Keelboat,Silver,11
Abel Ricardo Laudonio,M,ARG,1960 Summer,1960,Roma,Boxing,Boxing Men's Lightweight,Bronze,11
Carlos Alberto Moratorio Telechea,M,ARG,1964 Summer,1964,Tokyo,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver,12
Mario Omar Guilloti Gonzlez,M,ARG,1968 Summer,1968,Mexico City,Boxing,Boxing Men's Welterweight,Bronze,13
Alberto Demiddi,M,ARG,1968 Summer,1968,Mexico City,Rowing,Rowing Men's Single Sculls,Bronze,13
Alberto Demiddi,M,ARG,1972 Summer,1972,Munich,Rowing,Rowing Men's Single Sculls,Silver,14
Gabriela Beatriz Sabatini,F,ARG,1988 Summer,1988,Seoul,Tennis,Tennis Women's Singles,Silver,17
Daniel Jorge Castellani,M,ARG,1988 Summer,1988,Seoul,Volleyball,Volleyball Men's Volleyball,Bronze,17
Javier Alberto Frana Maggi,M,ARG,1992 Summer,1992,Barcelona,Tennis,Tennis Men's Doubles,Bronze,18
Matas Jess Almeyda,M,ARG,1996 Summer,1996,Atlanta,Football,Football Men's Football,Silver,19
Carlos Mauricio Espnola Lorenzo,M,ARG,1996 Summer,1996,Atlanta,Sailing,Sailing Men's Windsurfer,Silver,19
Julio Pablo Chacn,M,ARG,1996 Summer,1996,Atlanta,Boxing,Boxing Men's Featherweight,Bronze,19
Mara Magdalena Aicega Amicarelli,F,ARG,2000 Summer,2000,Sydney,Hockey,Hockey Women's Hockey,Silver,20
Carlos Mauricio Espnola Lorenzo,M,ARG,2000 Summer,2000,Sydney,Sailing,Sailing Men's Windsurfer,Silver,20
Javier Alberto Conte,M,ARG,2000 Summer,2000,Sydney,Sailing,Sailing Men's Two Person Dinghy,Bronze,20
Serena Bibiana Amato,F,ARG,2000 Summer,2000,Sydney,Sailing,Sailing Women's One Person Dinghy,Bronze,20
Carlos Francisco Delfino,M,ARG,2004 Summer,2004,Athina,Basketball,Basketball Men's Basketball,Gold,21
Roberto Fabin Ayala,M,ARG,2004 Summer,2004,Athina,Football,Football Men's Football,Gold,21
Mara Magdalena Aicega Amicarelli,F,ARG,2004 Summer,2004,Athina,Hockey,Hockey Women's Hockey,Bronze,21
Carlos Mauricio Espnola Lorenzo,M,ARG,2004 Summer,2004,Athina,Sailing,Sailing Mixed Multihull,Bronze,21
Georgina Bardach Martin,F,ARG,2004 Summer,2004,Athina,Swimming,Swimming Women's 400 metres Individual Medley,Bronze,21
Paola Lorena Surez,F,ARG,2004 Summer,2004,Athina,Tennis,Tennis Women's Doubles,Bronze,21
Juan Esteban Curuchet,M,ARG,2008 Summer,2008,Beijing,Cycling,Cycling Men's Madison,Gold,22
Lautaro Germn Acosta,M,ARG,2008 Summer,2008,Beijing,Football,Football Men's Football,Gold,22
Carlos Francisco Delfino,M,ARG,2008 Summer,2008,Beijing,Basketball,Basketball Men's Basketball,Bronze,22
Mara Magdalena Aicega Amicarelli,F,ARG,2008 Summer,2008,Beijing,Hockey,Hockey Women's Hockey,Bronze,22
Paula Beln Pareto,F,ARG,2008 Summer,2008,Beijing,Judo,Judo Women's Extra-Lightweight,Bronze,22
Carlos Mauricio Espnola Lorenzo,M,ARG,2008 Summer,2008,Beijing,Sailing,Sailing Mixed Multihull,Bronze,22
Sebastian Eduardo Crismanich,M,ARG,2012 Summer,2012,London,Taekwondo,Taekwondo Men's Welterweight,Gold,23
"Luciana Paula ""Lucha"" Aymar",F,ARG,2012 Summer,2012,London,Hockey,Hockey Women's Hockey,Silver,23
Lucas Calabrese,M,ARG,2012 Summer,2012,London,Sailing,Sailing Men's Two Person Dinghy,Bronze,23
Juan Martn del Potro,M,ARG,2012 Summer,2012,London,Tennis,Tennis Men's Singles,Bronze,23
Manuel Brunet,M,ARG,2016 Summer,2016,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold,24
Paula Beln Pareto,F,ARG,2016 Summer,2016,Rio de Janeiro,Judo,Judo Women's Extra-Lightweight,Gold,24
Cecilia Carranza Saroli,F,ARG,2016 Summer,2016,Rio de Janeiro,Sailing,Sailing Mixed Multihull,Gold,24
Juan Martn del Potro,M,ARG,2016 Summer,2016,Rio de Janeiro,Tennis,Tennis Men's Singles,Silver,24
SUCCI Maria Belen,F,ARG,2020 summer,2021,Tokyo,Hockey,Hockey Women,Silver,25
ALVAREZ Santiago,M,ARG,2020 summer,2021,Tokyo,Rugby Sevens,Rugby Men,Bronze,25
de CECCO Luciano,M,ARG,2020 summer,2021,Tokyo,Volleyball,Volleyball Men,Bronze,25
Armen Lyudvikovich Nazaryan,M,ARM,1996 Summer,1996,Atlanta,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Gold,1
Armen Mkrtchyan,M,ARM,1996 Summer,1996,Atlanta,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Silver,1
Arsen Melikyan,M,ARM,2000 Summer,2000,Sydney,Weightlifting,Weightlifting Men's Middleweight,Bronze,2
Hrachik Javakhyan,M,ARM,2008 Summer,2008,Beijing,Boxing,Boxing Men's Lightweight,Bronze,4
Tigran Varban Martirosyan,M,ARM,2008 Summer,2008,Beijing,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze,4
Tigran Gevorg Martirosyan,M,ARM,2008 Summer,2008,Beijing,Weightlifting,Weightlifting Men's Lightweight,Bronze,4
Gevorg Davtyan,M,ARM,2008 Summer,2008,Beijing,Weightlifting,Weightlifting Men's Middleweight,Bronze,4
Roman Amoyan,M,ARM,2008 Summer,2008,Beijing,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze,4
Yury Patrikeyev,M,ARM,2008 Summer,2008,Beijing,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Bronze,4
Arsen Julfalakyan,M,ARM,2012 Summer,2012,London,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver,5
Hripsime Khurshudyan,F,ARM,2012 Summer,2012,London,Weightlifting,Weightlifting Women's Super-Heavyweight,Bronze,5
Artur Aleksanyan,M,ARM,2012 Summer,2012,London,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze,5
Artur Aleksanyan,M,ARM,2016 Summer,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold,6
Simon Martirosyan,M,ARM,2016 Summer,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Heavyweight,Silver,6
Gor Minasyan,M,ARM,2016 Summer,2016,Rio de Janeiro,Weightlifting,Weightlifting Men's Super-Heavyweight,Silver,6
Migran Arutyunyan,M,ARM,2016 Summer,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver,6
MARTIROSYAN Simon,M,ARM,2020 summer,2021,Tokyo,Weightlifting,Weightlifting Men's 109kg,Silver,7
ALEKSANYAN Artur,M,ARM,2020 summer,2021,Tokyo,Wrestling,Wrestling Men's Greco-Roman 97kg,Silver,7
DAVTYAN Artur,M,ARM,2020 summer,2021,Tokyo,Artistic Gymnastics,Artistic Gymnastics Men's Vault,Bronze,7
BACHKOV Hovhannes,M,ARM,2020 summer,2021,Tokyo,Boxing,Boxing Men's Light (57-63kg),Bronze,7
"Edwin Harold ""Teddy"" Flack",M,AUS,1896 Summer,1896,Athina,Athletics,"Athletics Men's 1,500 metres",Gold,1
"Edwin Harold ""Teddy"" Flack",M,AUS,1896 Summer,1896,Athina,Athletics,Athletics Men's 800 metres,Gold,1
"Edwin Harold ""Teddy"" Flack",M,AUS,1896 Summer,1896,Athina,Tennis,Tennis Men's Doubles,Bronze,1
"Stanley Rupert ""Stan"" Rowley",M,AUS,1900 Summer,1900,Paris,Athletics,"Athletics Men's 5,000 metres, Team",Gold,2
"Frederick Claude Vivian ""Fred"" Lane",M,AUS,1900 Summer,1900,Paris,Swimming,Swimming Men's 200 metres Freestyle,Gold,2
"Frederick Claude Vivian ""Fred"" Lane",M,AUS,1900 Summer,1900,Paris,Swimming,Swimming Men's 200 metres Obstacle Course,Gold,2
"Stanley Rupert ""Stan"" Rowley",M,AUS,1900 Summer,1900,Paris,Athletics,Athletics Men's 100 metres,Bronze,2
"Stanley Rupert ""Stan"" Rowley",M,AUS,1900 Summer,1900,Paris,Athletics,Athletics Men's 200 metres,Bronze,2
"Stanley Rupert ""Stan"" Rowley",M,AUS,1900 Summer,1900,Paris,Athletics,Athletics Men's 60 metres,Bronze,2
"Francis ""Frank"" Gailey",M,AUS,1904 Summer,1904,St. Louis,Swimming,Swimming Men's 220 yard Freestyle,Silver,3
"Francis ""Frank"" Gailey",M,AUS,1904 Summer,1904,St. Louis,Swimming,Swimming Men's 440 yard Freestyle,Silver,3
"Francis ""Frank"" Gailey",M,AUS,1904 Summer,1904,St. Louis,Swimming,Swimming Men's 880 yard Freestyle,Silver,3
"Francis ""Frank"" Gailey",M,AUS,1904 Summer,1904,St. Louis,Swimming,Swimming Men's One Mile Freestyle,Bronze,3
George Richard Parker,M,AUS,1920 Summer,1920,Antwerpen,Athletics,"Athletics Men's 3,000 metres Walk",Silver,4
"Francis Joseph Edmund ""Frank"" De Beaurepaire",M,AUS,1920 Summer,1920,Antwerpen,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,4
"Francis Joseph Edmund ""Frank"" De Beaurepaire",M,AUS,1920 Summer,1920,Antwerpen,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,4
"Anthony William ""Nick"" Winter",M,AUS,1924 Summer,1924,Paris,Athletics,Athletics Men's Triple Jump,Gold,5
"Richmond Cavill ""Dick"" Eve",M,AUS,1924 Summer,1924,Paris,Diving,Diving Men's Plain High,Gold,5
"Andrew Murray ""Boy"" Charlton",M,AUS,1924 Summer,1924,Paris,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold,5
"Francis Joseph Edmund ""Frank"" De Beaurepaire",M,AUS,1924 Summer,1924,Paris,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,5
"Francis Joseph Edmund ""Frank"" De Beaurepaire",M,AUS,1924 Summer,1924,Paris,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,5
"Andrew Murray ""Boy"" Charlton",M,AUS,1924 Summer,1924,Paris,Swimming,Swimming Men's 400 metres Freestyle,Bronze,5
"Henry Robert ""Bobby"" Pearce",M,AUS,1928 Summer,1928,Amsterdam,Rowing,Rowing Men's Single Sculls,Gold,6
"Andrew Murray ""Boy"" Charlton",M,AUS,1928 Summer,1928,Amsterdam,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver,6
"Andrew Murray ""Boy"" Charlton",M,AUS,1928 Summer,1928,Amsterdam,Swimming,Swimming Men's 400 metres Freestyle,Silver,6
"Edgar Laurence ""Dunc"" Gray",M,AUS,1928 Summer,1928,Amsterdam,Cycling,"Cycling Men's 1,000 metres Time Trial",Bronze,6
"Edgar Laurence ""Dunc"" Gray",M,AUS,1932 Summer,1932,Los Angeles,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold,7
"Henry Robert ""Bobby"" Pearce",M,AUS,1932 Summer,1932,Los Angeles,Rowing,Rowing Men's Single Sculls,Gold,7
"Clara ""Clare"" Dennis (-Golding)",F,AUS,1932 Summer,1932,Los Angeles,Swimming,Swimming Women's 200 metres Breaststroke,Gold,7
"Philomena Alecia ""Bonnie"" Mealing (-Johnston)",F,AUS,1932 Summer,1932,Los Angeles,Swimming,Swimming Women's 100 metres Backstroke,Silver,7
"Edward Richard ""Eddie"" Scarf",M,AUS,1932 Summer,1932,Los Angeles,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze,7
"John Patrick ""Jack"" Metcalfe",M,AUS,1936 Summer,1936,Berlin,Athletics,Athletics Men's Triple Jump,Bronze,8
"John Arthur ""Jack"" Winter",M,AUS,1948 Summer,1948,London,Athletics,Athletics Men's High Jump,Gold,9
"Mervyn Thomas ""Merv"" Wood",M,AUS,1948 Summer,1948,London,Rowing,Rowing Men's Single Sculls,Gold,9
"Theodore William ""Bill"" Bruce",M,AUS,1948 Summer,1948,London,Athletics,Athletics Men's Long Jump,Silver,9
George Gordon Avery,M,AUS,1948 Summer,1948,London,Athletics,Athletics Men's Triple Jump,Silver,9
Joyce Alice King (-Merrett),F,AUS,1948 Summer,1948,London,Athletics,Athletics Women's 4 x 100 metres Relay,Silver,9
John Birnie Marshall,M,AUS,1948 Summer,1948,London,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver,9
"Beatrice ""Nancy"" Lyons (-Welch)",F,AUS,1948 Summer,1948,London,Swimming,Swimming Women's 200 metres Breaststroke,Silver,9
"Richard Edward ""Dick"" Garrard",M,AUS,1948 Summer,1948,London,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver,9
Shirley Barbara Strickland de la Hunty,F,AUS,1948 Summer,1948,London,Athletics,Athletics Women's 100 metres,Bronze,9
Shirley Barbara Strickland de la Hunty,F,AUS,1948 Summer,1948,London,Athletics,Athletics Women's 80 metres Hurdles,Bronze,9
John Birnie Marshall,M,AUS,1948 Summer,1948,London,Swimming,Swimming Men's 400 metres Freestyle,Bronze,9
"Judith Joy ""Judy-Joy"" Davies",F,AUS,1948 Summer,1948,London,Swimming,Swimming Women's 100 metres Backstroke,Bronze,9
"James Michael ""Jim"" Armstrong",M,AUS,1948 Summer,1948,London,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze,9
Marjorie Jackson (-Nelson),F,AUS,1952 Summer,1952,Helsinki,Athletics,Athletics Women's 100 metres,Gold,10
Marjorie Jackson (-Nelson),F,AUS,1952 Summer,1952,Helsinki,Athletics,Athletics Women's 200 metres,Gold,10
Shirley Barbara Strickland de la Hunty,F,AUS,1952 Summer,1952,Helsinki,Athletics,Athletics Women's 80 metres Hurdles,Gold,10
Edward Russell Mockridge,M,AUS,1952 Summer,1952,Helsinki,Cycling,"Cycling Men's 1,000 metres Time Trial",Gold,10
Lionel Malvyne Cox,M,AUS,1952 Summer,1952,Helsinki,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold,10
John Griffith Davies,M,AUS,1952 Summer,1952,Helsinki,Swimming,Swimming Men's 200 metres Breaststroke,Gold,10
Lionel Malvyne Cox,M,AUS,1952 Summer,1952,Helsinki,Cycling,Cycling Men's Sprint,Silver,10
"Mervyn Thomas ""Merv"" Wood",M,AUS,1952 Summer,1952,Helsinki,Rowing,Rowing Men's Single Sculls,Silver,10
Shirley Barbara Strickland de la Hunty,F,AUS,1952 Summer,1952,Helsinki,Athletics,Athletics Women's 100 metres,Bronze,10
"David Rollo ""Dave"" Anderson",M,AUS,1952 Summer,1952,Helsinki,Rowing,Rowing Men's Coxed Eights,Bronze,10
"Verdi ""Vern"" Barberis",M,AUS,1952 Summer,1952,Helsinki,Weightlifting,Weightlifting Men's Lightweight,Bronze,10
"Elizabeth Alyse ""Betty"" Cuthbert",F,AUS,1956 Summer,1956,Melbourne,Athletics,Athletics Women's 100 metres,Gold,11
"Elizabeth Alyse ""Betty"" Cuthbert",F,AUS,1956 Summer,1956,Melbourne,Athletics,Athletics Women's 200 metres,Gold,11
Norma Wilson Croker-Fleming,F,AUS,1956 Summer,1956,Melbourne,Athletics,Athletics Women's 4 x 100 metres Relay,Gold,11
Shirley Barbara Strickland de la Hunty,F,AUS,1956 Summer,1956,Melbourne,Athletics,Athletics Women's 80 metres Hurdles,Gold,11
Ian Sterry Browne,M,AUS,1956 Summer,1956,Melbourne,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold,11
Iain Murray Rose,M,AUS,1956 Summer,1956,Melbourne,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold,11
David Egmont Theile,M,AUS,1956 Summer,1956,Melbourne,Swimming,Swimming Men's 100 metres Backstroke,Gold,11
"John Malcolm ""Jon"" Henricks",M,AUS,1956 Summer,1956,Melbourne,Swimming,Swimming Men's 100 metres Freestyle,Gold,11
Gary Arthur Chapman,M,AUS,1956 Summer,1956,Melbourne,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,11
Iain Murray Rose,M,AUS,1956 Summer,1956,Melbourne,Swimming,Swimming Men's 400 metres Freestyle,Gold,11
Dawn Lorraine Fraser,F,AUS,1956 Summer,1956,Melbourne,Swimming,Swimming Women's 100 metres Freestyle,Gold,11
Lorraine Joyce Crapp (-Thurlow),F,AUS,1956 Summer,1956,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,11
Lorraine Joyce Crapp (-Thurlow),F,AUS,1956 Summer,1956,Melbourne,Swimming,Swimming Women's 400 metres Freestyle,Gold,11
Graham Chater Gipson,M,AUS,1956 Summer,1956,Melbourne,Athletics,Athletics Men's 4 x 400 metres Relay,Silver,11
Charles Michael Porter,M,AUS,1956 Summer,1956,Melbourne,Athletics,Athletics Men's High Jump,Silver,11
Stuart Alexander MacKenzie,M,AUS,1956 Summer,1956,Melbourne,Rowing,Rowing Men's Single Sculls,Silver,11
John Malcolm Scott,M,AUS,1956 Summer,1956,Melbourne,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver,11
John James Monckton,M,AUS,1956 Summer,1956,Melbourne,Swimming,Swimming Men's 100 metres Backstroke,Silver,11
John Thomas Devitt,M,AUS,1956 Summer,1956,Melbourne,Swimming,Swimming Men's 100 metres Freestyle,Silver,11
Lorraine Joyce Crapp (-Thurlow),F,AUS,1956 Summer,1956,Melbourne,Swimming,Swimming Women's 100 metres Freestyle,Silver,11
Dawn Lorraine Fraser,F,AUS,1956 Summer,1956,Melbourne,Swimming,Swimming Women's 400 metres Freestyle,Silver,11
John Michael Landy,M,AUS,1956 Summer,1956,Melbourne,Athletics,"Athletics Men's 1,500 metres",Bronze,11
Allan Cleave Evan Lawrence,M,AUS,1956 Summer,1956,Melbourne,Athletics,"Athletics Men's 10,000 metres",Bronze,11
"Hector Dennis ""Hec"" Hogan",M,AUS,1956 Summer,1956,Melbourne,Athletics,Athletics Men's 100 metres,Bronze,11
Marlene Judith Mathews-Willard (-O'Shea),F,AUS,1956 Summer,1956,Melbourne,Athletics,Athletics Women's 100 metres,Bronze,11
Marlene Judith Mathews-Willard (-O'Shea),F,AUS,1956 Summer,1956,Melbourne,Athletics,Athletics Women's 200 metres,Bronze,11
Norma Claire Thrower (Austin-),F,AUS,1956 Summer,1956,Melbourne,Athletics,Athletics Women's 80 metres Hurdles,Bronze,11
Kevin John Hogarth,M,AUS,1956 Summer,1956,Melbourne,Boxing,Boxing Men's Welterweight,Bronze,11
Walter William Brown,M,AUS,1956 Summer,1956,Melbourne,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Bronze,11
"Richard Francis ""Dick"" Ploog",M,AUS,1956 Summer,1956,Melbourne,Cycling,Cycling Men's Sprint,Bronze,11
Alexander Michael Hirst Aikman,M,AUS,1956 Summer,1956,Melbourne,Rowing,Rowing Men's Coxed Eights,Bronze,11
Murray Stewart Riley,M,AUS,1956 Summer,1956,Melbourne,Rowing,Rowing Men's Double Sculls,Bronze,11
